name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Toko Bangunan Murah Jaya,"Jl. Pd. Klp. Sel., RT.2/RW.5, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450",,,64.0,4.7,-6.2499379,106.791448
toko bangunan c.p.b,"Jl. Cempaka Raya No.6 3, RT.3/RW.9, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",,0823-7326-0020,7.0,4.4,-6.1808713,106.7166829
Toko Duta Bangunan,"Jl. Panglima Polim No.42A, RT.9/RW.7, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",,(021) 7206242,23.0,4.3,-6.1808713,106.7166829
Toko Bangunan Putra Mahkota,"1, Jl. Pd. Ranggon Selatan No.81, RT.8/RW.1, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860",,0821-8888-9282,87.0,4.9,-6.3488217,106.7689362
Kota Bangunan,"Jl. Jembatan Besi Raya No.2B, RT.15/RW.3, Jemb. Besi, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320",,(021) 63850881,159.0,4.7,-6.1517453,106.6565008
TB. ACC,"Jl. Otista Raya No.435, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330",,(021) 8194623,120.0,4.4,-6.1517453,106.6565008
Toko bangunan Al Yamin,"Jl. Kerja Bakti, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570",,(021) 8003766,26.0,4.5,-6.270955,106.7332154
Toko Bangunan Sumber Makmur,"Nomer Jl. Guru No.18 6, RT.6/RW.2, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610",,0878-8080-6777,9.0,4.8,-6.270955,106.7332154
Toko Material Makmur,"Jl. Percetakan Negara No.1A 1, RT.1/RW.5, Rawasari, Kec. Cemp. Putih, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10570",,0818-777-221,100.0,4.5,-6.270955,106.7332154
Toko Bangunan Batu Raden,"RR47+WV5, Jl. Kh. MAS Mansyur,Jakpus., RT.1/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,,81.0,4.5,-6.270955,106.7332154
Toko Bangunan Kemboja,"Jl. Raya Ciracas No.70 11, RT.11/RW.2, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740",,,22.0,4.9,-6.270955,106.7332154
Tb Makmur Sejati,"Jl. Gardu No.32 9, RT.9/RW.3, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530",,,8.0,4.9,-6.270955,106.7332154
Toko Bangunan Setia Usaha,"Seberang BCA Fatmawati, Jl. RS. Fatmawati Raya No.7D, RT.3/RW.4, Gandaria Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12420",,(021) 7503594,10.0,5.0,-6.2711798,106.6530691
Toko Subur Jaya,"Jl. Danau Sunter Utara No.10-11 Blok G3, Sunter Agung, Tanjung Priok, North Jakarta City, Jakarta 14350",,0818-0809-0335,120.0,4.1,-6.1382031,106.7247398
Tb Maju,"Jl. Ampera Raya No.32, RT.2/RW.9, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",,,49.0,4.2,-6.2850332,106.674806
Toko Bangunan MAJU,"Jl. Kramat Sentiong No.36B, RT.8/RW.7, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",,(021) 3102036,55.0,4.6,-6.2850332,106.674806
Toko Bangunan Hidup Makmur,"Jl. H.Remaih No.30 4, RT.4/RW.7, Baru, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",,(021) 8411119,14.0,4.5,-6.2850332,106.674806
Barkah Jaya,"Jl. Albarkah No.27 13, RT.13/RW.4, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",,(021) 8299334,55.0,4.4,-6.2850332,106.674806
Cahaya Makmur Toko,"JL. Swadaya 1-C RT 008/09, Pondok Labu, RT.5/RW.10, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450",,(021) 75900772,,,-6.2850332,106.674806
Toko New Jaya Bahan Bangunan,"1, Jl. Sunter Kemayoran No.3A, RT.1/RW.9, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14360",,0877-8216-2397,81.0,4.7,-6.1622064,106.7313967
TB. Sumber Bangunan,"Jl. Menteng Dalam No.4 10, RT.10/RW.3, Menteng Dalam, Kec. Menteng, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",,,23.0,4.3,-6.1622064,106.7313967
TB. Murah,"Jl. Letjen Suprapto No.12, RT.1/RW.1, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",tokopedia.link,0811-9800-380,77.0,4.7,-6.1622064,106.7313967
TB.BASTA JAYA,"Jl. Kayu Manis Barat No.85 2, RT.2/RW.7, Kayu Manis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13130",,0821-1113-3001,22.0,4.5,-6.1622064,106.7313967
TOKO BANGUNAN CILILITAN JAYA 2( Samping PLN),"Jl. Raya Jakarta-Bogor No.KM 20, RT.11/RW.10, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510",,0812-9438-5019,4.0,4.8,-6.1622064,106.7313967
TB. Abadi,"Jl. Prof. DR. Satrio No.39, RT.17/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",,0851-0166-1988,37.0,4.4,-6.1622064,106.7313967
UD. ARIF JAYA,"Jl. Batu Ampar V NO. 51, Jl. Batu Ampar, RT.14/RW.5, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 8094323,22.0,4.6,-6.1622064,106.7313967
Toko Jaya Guna Mampang Official / TB Jaya Guna / Toko Keramik Jaya Guna,"Sebelah gerbang 9 Residence, Jl. Mampang Prpt. Raya No.17 2, RT.2/RW.5, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",,(021) 7994833,5.0,4.2,-6.1622064,106.7313967
Toko Bahan Bangunan,"Gg. Wakaf No.65, RT.3/RW.9, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 8408308,5.0,4.8,-6.2900617,106.7160092
Tb. Kamal Jaya,"8, Jl. Ampera Raya No.37B, RT.8/RW.2, Ampera raya, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",,0856-7878-342,4.0,4.8,-6.2900617,106.7160092
TOKO BANGUNAN RAJAWALI BANG ADE,"Jl. H. Marzuki RT01:RW02) NO.A16, RT.1/RW.6, Kemanggisan, Palmerah, West Jakarta City, Jakarta 11480",,0812-1011-6777,1.0,5.0,-6.1911803,106.6475168
TB. Sinar Pedurenan,"Jl. Pedurenan Mesjid Raya No.72 9, RT.9/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",,,31.0,4.5,-6.1911803,106.6475168
Toko Bangunan Mahkota Jaya,"13, Jl. Tomang Tinggi Raya No.43, RT.13/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 5606769,126.0,4.6,-6.1911803,106.6475168
TB Alkatiri,"Jl. Salemba Tengah No.65 5, RT.9/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,0818-0717-3257,74.0,3.9,-6.1911803,106.6475168
Guna Karya. TB,"1, Jl. Muria Tanjakan No.20, RT.2/RW.2, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",,0815-1352-3232,42.0,4.5,-6.1911803,106.6475168
Toko Bangunan Tunas Jaya,"Jl. Pengantin Ali No.8, RT.8/RW.6, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740",,,9.0,4.4,-6.3196754,106.7391074
