name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Toko Bahan Bangunan Sinar Abadi,"Jl. Asem Baris Raya No.321 4, RT.5/RW.12, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830",,0813-9902-2915,,4.7,-6.250998,106.6531014
Toko Bangunan Sumber Berkat,"Jl. Raya Kalimalang No.57, RT.3/RW.12, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450",,0812-1181-8578,,4.6,-6.250092,106.7963036
Toko Bangunan Mahkota Jaya,"13, Jl. Tomang Tinggi Raya No.43, RT.13/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 5606769,,4.6,-6.171893,106.6515995
Toko Bangunan Rawabelong Jaya,"Jl. Palmerah Barat No.54, RT.1/RW.15, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",taplink.cc,(021) 5482314,,4.6,-6.171893,106.6515995
Berjaya Makmur Bangunan,"Ruko Jl. Tj. Mas Utama B1/37, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530",,0851-3247-8941,,5.0,-6.3082399,106.6955434
Toko Bangunan Mawar Afiah,"Jl. Cililitan Besar No.3a, Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13350",,0812-8266-1041,,4.5,-6.3082399,106.6955434
Toko Bangunan Putra Mahkota,"1, Jl. Pd. Ranggon Selatan No.81, RT.8/RW.1, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860",,0821-8888-9282,,4.9,-6.3488217,106.7689362
Toko Bangunan Putra Mahkota,"1, Jl. Pd. Ranggon Selatan No.81, RT.8/RW.1, Pd. Ranggon, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860",,0821-8888-9282,,4.9,-6.3488217,106.7689362
TB. Mulya Jaya,"Jl. Pancoran Barat VII No.10 14, RT.14/RW.14, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",,(021) 79196838,,4.9,-6.2515736,106.6924979
Toko Bangunan Kemboja,"Jl. Raya Ciracas No.70 11, RT.11/RW.2, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740",,,,4.9,-6.2515736,106.6924979
TB. Agung Bangunan,"Jl. Kalisari II No.77 11, RT.4/RW.11, Kalisari, Pasar Rebo, East Jakarta City, Jakarta 13790",,0878-0878-9579,,4.8,-6.2515736,106.6924979
Tb. Flamboyan 48,"Gang.H.Ibrah No.8A 9, RT.9/RW.1, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560",,0859-6065-3176,,4.9,-6.2515736,106.6924979
TB Fitra Bangunan,"Jl. Menteng Pulo No.10 4, RT.10/RW.13, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",,(021) 83703370,,4.5,-6.2515736,106.6924979
Toko Bangunan Murah Jaya,"Jl. Pd. Klp. Sel., RT.2/RW.5, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450",,,,4.7,-6.2499379,106.791448
Seng Yun Toko Material,"No., Jl. Cikoko Barat 1 No.1, RT.9/RW.3, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",,0855-9999-646,,4.1,-6.2455388,106.7072768
TB.Dd Bangunan,"Jl. Anggrek I No.22, RT.10/RW.1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",,(021) 52907250,,4.7,-6.2455388,106.7072768
Toko Bangunan Bekasi Terlengkap - Mitra10 Jatimakmur,"Jl. Raya Jati Makmur No.115, RT.001/RW.013, Jatimakmur, Kec. Pd. Gede, Kota Bks, Jawa Barat 17413",mitra10.com,(021) 85520909,,4.6,-6.2877854,106.7937981
Toko Prima Bangunan,"No. Z, Jl. H. Baun No.85, RT.1/RW.1, Lb. Bulus, Kec. Cilandak, DKI Jakarta, Daerah Khusus Ibukota Jakarta 12440",,(021) 75909851,,4.4,-6.2949191,106.6383354
TB. Abadi,"Jl. Prof. DR. Satrio No.39, RT.17/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",,0851-0166-1988,,4.4,-6.2949191,106.6383354
Toko Bangunan Jaya Makmur,"Cemp. Putih, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15412",,(021) 74711112,,4.1,-6.2949191,106.6383354
PD. Metro Bangunan,"Jalan Asem II / Flamboyan no 12 Rt 12 Rw 2, RT.14/RW.5, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",,(021) 7504004,,4.4,-6.2949191,106.6383354
Toko Bangunan Jakarta Timur Terlengkap - Mitra10 Pondok Bambu,"Jl. Pahlawan Revolusi No.10, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",mitra10.com,(021) 29194738,,4.7,-6.2321731,106.7529223
Toko Bangunan Naga Mas,"Jl. Proklamasi No.62, Abadijaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",,(021) 77829252,,4.2,-6.3909335,106.7065526
Langit ACC Supermarket Bangunan,"Jl. Moch. Kahfi II No.11, RT.4/RW.4, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",,(021) 72737389,,4.7,-6.3909335,106.7065526
TB. JAYA BANGUNAN,"Jl. Tegal Parang Sel. No.50 5, RT.5/RW.1, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790",,0821-5122-6666,,4.7,-6.2495864,106.6872521
Toko Bangunan Ucok Jaya,"3, Jl. Cipinang Pulo No.26, RT.3/RW.14, Cipinang Besar Utara, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",,(021) 8199788,,5.0,-6.2495864,106.6872521
ALYAMIN Toko Bangunan,"PVVH+PHW, Jl. Jengki, RT.7/RW.12, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650",,,,4.9,-6.2495864,106.6872521
TB. Sinar Pedurenan,"Jl. Pedurenan Mesjid Raya No.72 9, RT.9/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",,,,4.5,-6.2495864,106.6872521
Toko Material Makmur,"Jl. Percetakan Negara No.1A 1, RT.1/RW.5, Rawasari, Kec. Cemp. Putih, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10570",,0818-777-221,,4.5,-6.2495864,106.6872521
